A,B,C
65.0,72.0,
84.0,75.0,
31.0,52.0,83.0
71.0,38.0,
20.0,66.0,
67.0,38.0,
31.0,48.0,
45.0,77.0,122.0
8.0,55.0,
30.0,42.0,72.0
83.0,86.0,
14.0,31.0,
23.0,88.0,111.0
67.0,71.0,138.0
91.0,79.0,170.0
34.0,2.0,
28.0,81.0,109.0
41.0,37.0,78.0
17.0,15.0,32.0
20.0,89.0,
18.0,36.0,54.0
91.0,43.0,
40.0,51.0,
38.0,51.0,89.0
56.0,64.0,120.0
46.0,46.0,92.0
55.0,70.0,125.0
22.0,45.0,
5.0,74.0,79.0
72.0,100.0,
36.0,86.0,
78.0,26.0,
13.0,58.0,
68.0,37.0,
50.0,77.0,127.0
54.0,22.0,
10.0,99.0,
40.0,29.0,69.0
63.0,43.0,106.0
67.0,100.0,
38.0,24.0,
31.0,90.0,
43.0,82.0,
87.0,13.0,
54.0,20.0,
88.0,92.0,180.0
59.0,87.0,146.0
65.0,62.0,
57.0,9.0,
64.0,53.0,
35.0,86.0,121.0
99.0,9.0,108.0
4.0,19.0,
23.0,1.0,
100.0,42.0,142.0
50.0,29.0,
93.0,32.0,
64.0,32.0,96.0
0.0,56.0,
62.0,58.0,
31.0,72.0,
81.0,43.0,
80.0,31.0,
100.0,51.0,
34.0,20.0,
7.0,82.0,
73.0,85.0,
3.0,71.0,
9.0,85.0,94.0
62.0,24.0,86.0
96.0,25.0,
0.0,55.0,
89.0,86.0,
56.0,62.0,118.0
93.0,62.0,
70.0,17.0,
81.0,43.0,
7.0,97.0,
1.0,96.0,
72.0,79.0,151.0
65.0,18.0,
54.0,99.0,153.0
89.0,96.0,185.0
9.0,42.0,
35.0,21.0,
43.0,14.0,
14.0,57.0,
17.0,94.0,
85.0,0.0,85.0
20.0,44.0,
78.0,92.0,
4.0,7.0,
82.0,2.0,
71.0,52.0,123.0
80.0,34.0,
6.0,86.0,92.0
75.0,14.0,
19.0,45.0,
64.0,48.0,
91.0,71.0,
4.0,70.0,
55.0,82.0,137.0
96.0,41.0,137.0
52.0,65.0,117.0
90.0,59.0,149.0
82.0,53.0,
34.0,79.0,
9.0,64.0,73.0
88.0,89.0,177.0
45.0,96.0,141.0
84.0,26.0,110.0
11.0,13.0,
43.0,92.0,
47.0,22.0,69.0
93.0,60.0,153.0
99.0,26.0,125.0
15.0,78.0,93.0
41.0,34.0,75.0
59.0,62.0,121.0
47.0,18.0,
42.0,96.0,
64.0,34.0,
57.0,77.0,134.0
61.0,81.0,142.0
41.0,81.0,
40.0,87.0,127.0
61.0,59.0,120.0
47.0,25.0,72.0
36.0,92.0,128.0
85.0,74.0,
20.0,10.0,30.0
49.0,70.0,
69.0,3.0,72.0
49.0,58.0,107.0
89.0,48.0,
44.0,23.0,
58.0,39.0,
36.0,88.0,124.0
55.0,77.0,
38.0,35.0,
24.0,88.0,112.0
22.0,65.0,
25.0,14.0,39.0
55.0,76.0,131.0
65.0,5.0,70.0
14.0,16.0,30.0
24.0,100.0,124.0
97.0,33.0,130.0
72.0,29.0,
56.0,0.0,56.0
36.0,95.0,
8.0,54.0,62.0
27.0,52.0,79.0
66.0,19.0,85.0
28.0,63.0,
81.0,51.0,132.0
2.0,76.0,78.0
32.0,90.0,
55.0,48.0,103.0
18.0,16.0,34.0
81.0,62.0,143.0
8.0,87.0,
59.0,46.0,105.0
63.0,16.0,79.0
95.0,27.0,
80.0,7.0,
64.0,79.0,143.0
77.0,99.0,176.0
39.0,0.0,
69.0,24.0,
96.0,60.0,
25.0,71.0,96.0
43.0,44.0,
40.0,24.0,
16.0,91.0,107.0
3.0,20.0,23.0
45.0,8.0,53.0
93.0,24.0,
38.0,50.0,88.0
98.0,3.0,101.0
84.0,47.0,131.0
22.0,9.0,31.0
11.0,43.0,54.0
58.0,50.0,
92.0,48.0,
74.0,81.0,155.0
12.0,68.0,
20.0,47.0,
90.0,88.0,178.0
18.0,86.0,104.0
43.0,9.0,52.0
60.0,46.0,106.0
33.0,0.0,
24.0,10.0,
59.0,49.0,108.0
8.0,50.0,
34.0,29.0,
57.0,85.0,142.0
63.0,92.0,155.0
91.0,68.0,
10.0,13.0,
39.0,84.0,
7.0,49.0,56.0
94.0,49.0,
89.0,16.0,105.0
86.0,61.0,147.0
85.0,21.0,106.0
47.0,55.0,
87.0,24.0,111.0
88.0,100.0,188.0
32.0,32.0,64.0
22.0,12.0,
73.0,20.0,93.0
59.0,2.0,61.0
20.0,89.0,
47.0,26.0,
68.0,90.0,158.0
94.0,10.0,104.0
57.0,66.0,123.0
98.0,65.0,163.0
25.0,70.0,95.0
55.0,81.0,136.0
17.0,48.0,65.0
65.0,17.0,
70.0,32.0,
89.0,16.0,
54.0,1.0,55.0
35.0,63.0,98.0
89.0,72.0,161.0
1.0,35.0,
35.0,74.0,109.0
25.0,73.0,
90.0,73.0,
38.0,27.0,65.0
46.0,75.0,
1.0,89.0,
51.0,7.0,
98.0,96.0,194.0
70.0,32.0,102.0
36.0,93.0,
74.0,14.0,88.0
61.0,100.0,
16.0,61.0,
9.0,23.0,
69.0,15.0,
58.0,83.0,
38.0,32.0,
46.0,43.0,
50.0,96.0,
32.0,72.0,104.0
53.0,64.0,
39.0,90.0,
63.0,26.0,
54.0,68.0,
23.0,25.0,
28.0,11.0,
56.0,40.0,96.0
76.0,57.0,
65.0,83.0,
7.0,0.0,7.0
